,Hangzhou_BRR,Jingzhou_BRR,Sanya_BRR,Shenzhen_BRR,Hangzhou_Chalk,Jingzhou_Chalk,Sanya_Chalk,Shenzhen_Chalk,Hangzhou_GL,Jingzhou_GL,Sanya_GL,Shenzhen_GL,Hangzhou_GLW,Jingzhou_GLW,Sanya_GLW,Shenzhen_GLW,Hangzhou_GW,Jingzhou_GW,Sanya_GW,Shenzhen_GW,Hangzhou_HRP,Jingzhou_HRP,Sanya_HRP,Shenzhen_HRP,Hangzhou_PGW,Jingzhou_PGW,Sanya_PGW,Shenzhen_PGW,Hangzhou_Thickness,Jingzhou_Thickness,Sanya_Thickness,Shenzhen_Thickness,Hangzhou_TKW,Jingzhou_TKW,Sanya_TKW,Shenzhen_TKW,Hangzhou_WGRR,Jingzhou_WGRR,Sanya_WGRR,Shenzhen_WGRR
CC191,NA,NA,68.31,77.71,NA,NA,100,NA,9.24,NA,8.99,9.42,3.74,NA,3.25,3.47,2.48,NA,2.77,2.73,NA,NA,31.12,69.62,NA,NA,NA,NA,2.28,NA,2.04,2,NA,NA,23.4,26.66,NA,NA,3.86,-7.1
CC192,NA,NA,79.4,79.77,NA,NA,36,25.65,9.39,NA,9.4,9.32,4.04,NA,3.67,3.47,2.34,NA,2.56,2.7,NA,NA,68.76,69.82,NA,NA,8.6,3.4,2.25,NA,1.97,1.98,NA,NA,26.23,26.41,NA,NA,38.03,63.18
CC193,NA,NA,78.68,78.61,NA,NA,27,61.65,8.01,NA,7.85,8.1,2.88,NA,2.48,2.49,2.76,NA,3.16,3.26,NA,NA,65.11,73.03,NA,NA,11.5,17.6,NA,NA,2.19,2.21,NA,NA,27.05,25.76,NA,NA,32.02,66.1
CC194,NA,NA,77.09,NA,NA,NA,0,NA,7.99,NA,9.16,7.78,3.12,NA,3.58,2.83,2.58,NA,2.56,2.74,NA,NA,68.91,NA,NA,NA,0.1,NA,1.99,NA,1.99,1.98,29.69,NA,26.58,29.53,NA,NA,49.91,NA
CC195,NA,NA,80.16,NA,NA,NA,0,NA,NA,NA,7.29,NA,NA,NA,2.45,NA,NA,NA,2.97,NA,NA,NA,69.58,NA,NA,NA,0,NA,NA,NA,2.02,NA,NA,NA,22.53,NA,NA,NA,16.63,NA
CC196,NA,77.47,NA,NA,NA,40.43,NA,NA,8.18,8.75,NA,8.39,3.01,3.21,NA,3.05,2.72,2.74,NA,2.74,NA,68.69,NA,NA,NA,8.79,NA,NA,2.03,2.03,NA,2.02,23.01,22.7,NA,NA,NA,61.59,NA,NA
CC197,NA,NA,79.15,NA,NA,NA,19,NA,NA,NA,8.4,NA,NA,NA,2.89,NA,NA,NA,2.91,NA,NA,NA,70.09,NA,NA,NA,4.1,NA,NA,NA,2.1,NA,NA,NA,28.45,NA,NA,NA,46.46,NA
CC198,NA,NA,81.23,81.34,NA,NA,33,86.65,9.98,NA,9.8,10.09,3.74,NA,3.39,3.55,2.67,NA,2.89,2.86,NA,NA,48.5,72.71,NA,NA,8.4,26.8,2.5,NA,2.29,2.32,NA,NA,30.73,34.43,NA,NA,13.16,66.07
CC200,NA,NA,80.21,78.43,NA,NA,23,4.35,NA,NA,10.11,NA,NA,NA,3.98,NA,NA,NA,2.54,NA,NA,NA,67.66,67.51,NA,NA,5.8,1.3,NA,NA,2.12,NA,NA,NA,31.88,31.77,NA,NA,26.35,7.1
CC201,NA,75.1,76.25,79.76,NA,47.5,100,NA,7.94,8.06,8.05,8.09,2.82,2.65,2.64,2.74,2.82,3.05,3.05,2.94,NA,60.02,64.05,69.93,NA,13.65,NA,NA,2.07,2.03,2.14,2.06,NA,22.98,25.08,25.17,NA,22.91,11.93,76.36
CC202,NA,NA,NA,82.19,NA,NA,NA,NA,8.16,NA,8.19,8.05,NA,NA,NA,2.55,NA,NA,NA,3.18,NA,NA,NA,70.06,NA,NA,NA,NA,NA,NA,2.15,2.21,NA,NA,NA,28.7,NA,NA,NA,7.1
CC203,NA,NA,NA,NA,16,NA,NA,NA,9.21,NA,NA,9.31,3.74,NA,NA,3.65,2.45,NA,NA,2.53,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC204,NA,NA,78.24,NA,NA,NA,1,NA,NA,NA,10.53,NA,NA,NA,4.23,NA,NA,NA,2.49,NA,NA,NA,67.99,NA,NA,NA,0.1,NA,NA,NA,2.13,NA,NA,NA,30.18,NA,NA,NA,28.64,NA
CC205,80.58,NA,68.52,NA,49.5,NA,81,NA,8.33,NA,8.41,8.49,2.88,NA,2.7,2.78,2.9,NA,3.11,3.04,73.64,NA,59.44,NA,13,NA,24.6,NA,2.17,NA,2.17,2.16,29.57,NA,29.48,NA,68.31,NA,25.45,NA
CC206,NA,80.64,NA,NA,NA,100,NA,NA,NA,7.82,NA,NA,NA,2.89,NA,NA,NA,2.71,NA,NA,NA,68.33,NA,NA,NA,54.3,NA,NA,NA,2.08,NA,NA,NA,24.08,NA,NA,NA,52.42,NA,NA
CC207,NA,NA,NA,NA,13,NA,NA,NA,9.52,NA,NA,9.62,3.87,NA,NA,3.78,2.45,NA,NA,2.53,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC208,NA,NA,NA,78.61,NA,NA,NA,12.5,8.05,NA,7.78,8.24,3.51,NA,2.99,2.98,2.3,NA,2.6,2.78,NA,NA,NA,67.13,NA,NA,NA,3.5,2.26,NA,1.84,1.92,NA,NA,NA,20.28,NA,NA,NA,31.17
CC209,NA,NA,NA,NA,21,NA,NA,NA,9.52,NA,NA,9.62,3.72,NA,NA,3.63,2.55,NA,NA,2.63,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC210,NA,NA,81.65,NA,NA,NA,100,NA,NA,NA,6.69,NA,NA,NA,2.27,NA,NA,NA,2.94,NA,NA,NA,69.85,NA,NA,NA,39.5,NA,NA,NA,2.16,NA,NA,NA,21.23,NA,NA,NA,30.17,NA
CC211,77.62,NA,NA,77.97,18,NA,NA,67.65,NA,NA,NA,9.49,NA,NA,NA,3.64,NA,NA,NA,2.62,69.8,NA,NA,68.01,6.3,NA,NA,19.2,NA,NA,NA,2.04,25.6,NA,NA,25.28,67.35,NA,NA,49.6
CC212,NA,NA,71.54,NA,NA,NA,51,NA,NA,NA,8.96,NA,NA,NA,2.42,NA,NA,NA,NA,NA,NA,NA,61.2,NA,NA,NA,41.9,NA,NA,NA,2.48,NA,NA,NA,34.55,NA,NA,NA,17.6,NA
CC213,NA,NA,NA,80.69,NA,NA,68,36.35,8.49,NA,8.72,8.6,3.06,NA,2.93,2.91,2.78,NA,2.98,2.94,NA,NA,13.61,69.94,NA,NA,24.1,9.7,1.98,NA,1.98,1.97,27.48,NA,27.2,27.25,NA,NA,4.17,7.1
CC214,NA,76.18,80.43,NA,NA,64,49,NA,NA,8.47,8.21,NA,NA,3.12,2.91,NA,NA,2.72,2.82,NA,NA,62,66.07,NA,NA,33,17.3,NA,NA,2.02,2.01,NA,NA,23.34,24.63,NA,NA,17.76,33.1,NA
CC215,NA,NA,NA,77.46,NA,NA,NA,35.5,NA,NA,NA,9.02,NA,NA,NA,2.98,NA,NA,NA,3.04,NA,NA,NA,65.15,NA,NA,NA,9.75,NA,NA,NA,2.21,NA,NA,NA,26.36,NA,NA,NA,24.58
CC217,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC218,79.75,NA,81.38,79.64,86,NA,52,88.65,8.01,NA,7.93,8.21,2.7,NA,2.72,2.69,2.97,NA,2.92,3.06,71.55,NA,65.51,66.54,37.1,NA,16.4,48.4,2.41,NA,2.06,2.3,25.52,NA,22.15,25.43,25.6,NA,28.04,20.1
CC219,NA,NA,77.65,NA,NA,NA,40,NA,7.99,NA,7.96,8.19,2.96,NA,2.74,2.87,2.71,NA,2.9,2.84,NA,NA,63.87,NA,NA,NA,11.5,NA,2.02,NA,2.02,2.01,21.7,NA,21.55,NA,NA,NA,29.39,NA
CC220,NA,73.27,77.32,NA,NA,97.57,39,25.35,NA,8.26,7.74,NA,NA,2.66,2.79,NA,NA,3.11,2.77,NA,NA,60.59,64.33,NA,NA,NA,32.4,7.3,NA,2.02,1.8,NA,NA,22.48,22.38,NA,NA,22.77,23.89,NA
CC221,79.93,NA,NA,78.86,55.5,NA,NA,36.35,9.01,NA,NA,8.83,3.44,NA,NA,3.38,2.62,NA,NA,2.61,68,NA,NA,67.34,19.95,NA,NA,10.6,1.98,NA,NA,1.86,23.19,NA,NA,23,44.26,NA,NA,72.5
CC223,NA,79.59,78.88,77.81,NA,51,23,80.5,8.12,8.53,8.45,8.29,2.82,2.86,2.71,2.72,2.89,2.98,3.12,3.06,NA,70.12,65.86,66.61,NA,14.25,9.3,34.45,2.27,2.08,2.1,2.11,27.2,25.38,27.08,26.88,NA,44.68,21.18,15.94
CC224,78.22,NA,NA,81.16,12,NA,NA,49,9.18,NA,NA,9.06,3.5,NA,NA,3.12,2.62,NA,NA,2.95,69.43,NA,NA,71.41,3.25,NA,NA,15.3,2.39,NA,NA,2.22,31.18,NA,NA,28.93,64.65,NA,NA,33.76
CC225,NA,79.83,79.76,79.96,NA,46.5,28,36.35,NA,8.4,8.35,NA,NA,3.01,2.86,NA,NA,2.8,2.92,NA,NA,65.56,67.32,71.14,NA,21.9,6,7.3,NA,2.01,2,NA,NA,23.39,26.13,31.15,NA,42.29,39.52,45.76
CC226,NA,NA,80.36,79.58,NA,78.57,17,47.5,7.67,NA,7.43,7.84,2.98,NA,2.54,2.42,2.57,NA,2.93,3.25,NA,NA,68.06,69.1,NA,41.71,4.7,11.25,NA,NA,2.05,2.11,NA,NA,23.9,25.29,NA,NA,27.84,66.24
CC227,NA,NA,78.78,79.45,NA,NA,32,2.5,8.63,NA,8.39,8.8,3.86,NA,3.3,3.42,2.26,NA,2.55,2.59,NA,NA,68.15,71.55,NA,NA,6.3,0.4,2.15,NA,1.81,1.88,NA,NA,22.85,22.63,NA,NA,36.87,67.82
CC228,NA,NA,79.24,80.1,NA,NA,11,2,7.45,NA,7.63,7.21,3.36,NA,3.09,3.04,2.23,NA,2.46,2.39,NA,NA,70.25,73.65,NA,NA,1.3,0.3,2.01,NA,1.84,1.79,NA,NA,17.58,16.97,NA,NA,44.65,70
CC230,NA,NA,79.24,79.57,NA,NA,33,5,9.66,NA,10.26,10.18,4.17,NA,4.99,4.36,2.34,NA,2.06,2.36,NA,NA,66.49,69.78,NA,NA,9.4,0.95,1.99,NA,1.89,1.96,24.42,NA,25.33,24.13,NA,NA,29.24,59.32
CC231,78.43,NA,77.95,78.16,50.5,NA,17,10.5,8.81,NA,8.8,8.97,3.65,NA,3.45,3.52,2.42,NA,2.55,2.55,70.81,NA,67.58,68.42,14.8,NA,3.2,1.95,2.01,NA,1.85,1.9,21.88,NA,23.2,21.71,67.12,NA,50.43,48.37
CC232,NA,NA,79.19,79.06,NA,NA,13,1.5,7.41,NA,7.44,7.31,3.22,NA,2.89,2.94,2.3,NA,2.58,2.51,NA,NA,69.29,72.47,NA,NA,3.2,0.15,2.06,NA,1.87,1.78,NA,NA,17.25,16.42,NA,NA,20,63.97
CC233,78.13,NA,NA,79.91,14,NA,NA,22.65,9.29,NA,NA,9.51,3.69,NA,NA,3.74,2.52,NA,NA,2.53,69.51,NA,NA,71.99,4.45,NA,NA,2.7,2.17,NA,NA,2.16,30.78,NA,NA,30.71,64.64,NA,NA,55.71
CC234,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC235,NA,79.2,80.33,NA,NA,42.43,39,NA,NA,8.13,7.85,NA,NA,2.89,2.71,NA,NA,2.83,2.9,NA,NA,63.13,68.4,NA,NA,22.09,9,NA,NA,1.93,2.07,NA,NA,21.68,24.65,NA,NA,36.22,17.87,NA
CC236,NA,NA,82.05,81.18,NA,NA,100,64.5,8.59,NA,8.86,8.25,3.09,NA,2.79,2.6,2.76,NA,3.18,3.19,NA,NA,68.96,70.12,NA,NA,56.4,27.05,NA,NA,2.19,2.29,NA,NA,30.68,32.59,NA,NA,21.13,28.59
CC237,NA,NA,79.82,78.35,NA,NA,38,30.5,11.17,NA,10.81,NA,4.63,NA,4.23,4.28,2.44,NA,2.56,2.69,NA,NA,68.21,67.56,NA,NA,9.8,6.3,2.4,NA,2.16,2.27,NA,NA,32.8,34.34,NA,NA,45.34,40.44
CC238,NA,76.36,79.37,79.18,NA,37.5,14,43,9.28,8.93,9.21,9.28,3.72,3.51,3.29,3.45,2.5,2.55,2.8,2.7,NA,65.19,70.05,68.89,NA,11.05,2.8,14.45,2.28,1.97,2.05,2.02,NA,22.38,25.8,25.76,NA,44.39,21.59,21.91
CC239,76.7,NA,NA,78.94,20,NA,NA,23.65,8.95,NA,NA,8.51,3.56,NA,NA,3.08,2.52,NA,NA,2.83,68.15,NA,NA,69.65,6.05,NA,NA,4.1,2.35,NA,NA,2.19,26.65,NA,NA,26.48,65.26,NA,NA,45.27
CC240,NA,79.03,78.11,NA,NA,60.5,29,NA,NA,7.81,7.77,NA,NA,2.8,2.68,NA,NA,2.8,2.9,NA,NA,67.93,66.7,NA,NA,31.3,5.9,NA,NA,2,1.97,NA,NA,21.53,24.88,NA,NA,35.94,42.06,NA
CC241,NA,74.66,77.23,NA,NA,42,42,NA,8.91,9.28,8.57,9.21,3.4,3.63,3.31,3.23,2.63,2.56,2.59,2.84,NA,62.47,66.03,NA,NA,23.15,19.2,NA,1.93,1.96,1.86,1.92,22.94,22.52,23.05,NA,NA,46.89,34.79,NA
CC242,79.01,NA,NA,78.15,60,NA,NA,51,9.23,NA,NA,9.48,3.53,NA,NA,3.81,2.62,NA,NA,2.51,69.77,NA,NA,67.94,28.65,NA,NA,22.35,2.12,NA,NA,2.06,25.97,NA,NA,25.22,64.81,NA,NA,17.18
CC243,NA,NA,91.42,80.44,NA,NA,5,-0.35,9.95,NA,9.8,10.03,4.5,NA,4.09,4.32,2.24,NA,2.4,2.34,NA,NA,73.69,70.08,NA,NA,1.3,-0.4,2.1,NA,1.93,2.03,NA,NA,20.78,27.21,NA,NA,15.45,57.52
CC244,NA,NA,NA,78.9,NA,NA,3,2.5,10.22,NA,10.23,10.15,4.86,NA,4.63,4.56,2.14,NA,2.21,2.24,NA,NA,53.61,69.61,NA,NA,0.5,0.6,1.97,NA,1.91,1.87,NA,NA,23.15,22.43,NA,NA,18.61,29.64
CC246,NA,NA,75.88,NA,NA,NA,100,NA,NA,NA,8.23,NA,NA,NA,3.29,NA,NA,NA,2.5,NA,NA,NA,65.03,NA,NA,NA,NA,NA,NA,NA,1.84,NA,NA,NA,19.2,NA,NA,NA,21.55,NA
CC247,76.32,NA,80.38,80.39,21,NA,5,5.35,NA,NA,9.68,NA,NA,NA,3.65,NA,NA,NA,2.65,NA,64.89,NA,72.1,71.2,5.5,NA,1.2,1.7,NA,NA,2.11,NA,23.14,NA,22.93,23.5,58.63,NA,20.98,7.1
CC249,NA,80.91,80.77,80.99,NA,60,16,7.35,NA,7.7,9.77,NA,NA,2.77,4.34,NA,NA,2.78,2.25,NA,NA,64.73,68.93,69.52,NA,29.85,4.5,1.3,NA,1.94,1.89,NA,NA,22.44,25.75,24.3,NA,28.22,33.84,7.1
CC250,NA,NA,78.07,NA,NA,NA,66,NA,7.64,NA,8.07,7.68,2.62,NA,2.46,2.51,2.92,NA,3.28,3.04,NA,NA,65,NA,NA,NA,20.5,NA,2.09,NA,2.09,2.08,23.16,NA,22.68,NA,NA,NA,9.76,NA
CC252,NA,NA,81.97,NA,NA,NA,66,NA,8.6,NA,8.88,8.7,3.13,NA,3.01,3.05,2.75,NA,2.95,2.84,NA,NA,70.41,NA,NA,NA,19.4,NA,2.24,NA,2.24,2.23,26.2,NA,25.63,NA,NA,NA,14.67,NA
CC253,NA,NA,76.42,78.95,NA,NA,48,7.5,8.9,NA,8.93,8.81,3.32,NA,2.88,3.23,2.67,NA,3.1,2.74,NA,NA,60.33,68.69,NA,NA,14.5,1.5,2.35,NA,2.09,2.12,NA,NA,23.1,26.43,NA,NA,20.48,29.19
CC254,NA,NA,NA,77.47,NA,NA,NA,28.65,NA,NA,NA,9.01,NA,NA,NA,3.27,NA,NA,NA,2.77,NA,NA,NA,67.07,NA,NA,NA,5.9,NA,NA,NA,2.06,NA,NA,NA,27.51,NA,NA,NA,50.98
CC255,NA,NA,NA,NA,NA,NA,69,NA,9.05,NA,9.44,9.11,3.39,NA,3.39,3.19,2.68,NA,2.78,2.84,NA,NA,78.25,NA,NA,NA,21.8,NA,1.98,NA,1.98,1.97,NA,NA,28.45,NA,NA,NA,28.26,NA
CC256,NA,NA,65.75,81.45,NA,NA,82,69,8.99,NA,8.99,8.92,3.31,NA,2.92,3.18,2.71,NA,3.08,2.82,NA,NA,56.64,73.25,NA,NA,31.3,15.85,2.4,NA,2.17,2.16,NA,NA,29.03,27.83,NA,NA,38.27,34.17
CC257,NA,NA,77.68,78,NA,NA,0,3.5,6.74,NA,6.86,6.56,2.35,NA,2.11,2.12,2.82,NA,3.25,3.11,NA,NA,68.04,70.05,NA,NA,0,0.85,NA,NA,2.23,2.21,NA,NA,18.98,21.47,NA,NA,46.84,63.1
CC258,NA,NA,78.05,79.06,NA,NA,65,9,7.87,NA,8.43,8.14,2.83,NA,2.81,2.91,2.8,NA,3,2.82,NA,NA,66.7,71.48,NA,NA,20.7,1.85,2.08,NA,2.05,1.93,25.45,NA,22.08,25.25,NA,NA,7.49,62.75
CC259,NA,77.01,78.33,NA,NA,57,0,NA,NA,8.42,8.12,NA,NA,3.01,2.55,NA,NA,2.81,3.19,NA,NA,67.94,66.03,NA,NA,24.25,0,NA,NA,2.08,2.24,NA,NA,23.04,23.78,NA,NA,46.37,39.17,NA
CC260,76.17,78.82,NA,77.97,30,56.5,97,88.65,8.55,7.94,8.14,8.36,3.18,2.63,2.58,2.95,2.69,3.02,3.16,2.85,50.92,67.53,0.67,NA,11.65,16.85,31.2,35.9,2.09,1.93,2.03,1.91,23.81,22.09,22.78,23.58,47.17,47.75,0.24,NA
CC261,76.73,NA,NA,77.67,20,NA,NA,9.65,9.36,NA,NA,9.43,3.72,NA,NA,3.77,2.52,NA,NA,2.5,68.3,NA,NA,66.81,6.85,NA,NA,1.6,1.87,NA,NA,1.74,22.86,NA,NA,22.81,64.89,NA,NA,49.54
CC263,NA,NA,78.66,78.16,NA,NA,37,52,8.75,NA,8.69,8.74,3.2,NA,2.79,3.04,2.72,NA,3.12,2.89,NA,NA,68.4,70.2,NA,NA,9.5,10.55,2.37,NA,2.17,2.03,NA,NA,26.38,27.37,NA,NA,21.59,28.39
CC264,NA,NA,83.08,79.54,NA,NA,90,63.65,8.71,NA,8.55,8.64,3.08,NA,2.55,2.94,2.83,NA,3.35,2.95,NA,NA,69.17,69.7,NA,NA,52.6,22.2,2.35,NA,2.3,2.19,27.53,NA,30.13,27.36,NA,NA,33.86,62.85
CC265,NA,NA,NA,79.11,NA,NA,NA,27.65,8.42,NA,8.38,8.4,3.28,NA,2.92,3.12,2.56,NA,2.87,2.71,NA,NA,NA,69.32,NA,NA,NA,6.4,2.26,NA,2.09,1.98,NA,NA,NA,22.51,NA,NA,NA,42.23
CC266,NA,NA,80.21,79.71,NA,NA,56,39.65,8.27,NA,8.42,8.06,2.8,NA,2.44,2.46,2.92,NA,3.45,3.29,NA,NA,68.1,70.01,NA,NA,15.7,7.1,NA,NA,2.23,2.24,NA,NA,28.43,26.88,NA,NA,22.14,46.6
CC267,NA,NA,80.57,79.43,NA,NA,53,44,8.56,NA,8.36,8.7,2.94,NA,2.48,2.65,2.89,NA,3.37,3.3,NA,NA,67,71.83,NA,NA,25.3,11.45,NA,NA,2.24,2.18,NA,NA,28.75,30.49,NA,NA,37.26,36.05
CC268,NA,NA,73.71,78.73,70,NA,39,24.35,NA,NA,9.95,NA,NA,NA,3.66,NA,NA,NA,2.72,NA,NA,NA,63.1,66.56,28,NA,12.1,8.2,NA,NA,2,NA,NA,NA,24.7,25.15,NA,NA,30.52,73.06
CC269,NA,NA,79.96,81.26,NA,NA,28,38.35,NA,NA,9.49,NA,NA,NA,3.26,NA,NA,NA,2.91,NA,NA,NA,67.69,71.36,NA,NA,10.1,10.7,NA,NA,2.06,NA,NA,NA,29.93,29.77,NA,NA,12.27,77.58
CC270,NA,NA,77.46,83.03,NA,NA,59,33.35,NA,NA,10.21,NA,NA,NA,3.86,NA,NA,NA,2.64,NA,NA,NA,65.92,72.62,NA,NA,17.6,10.5,NA,NA,2.13,NA,NA,NA,27.95,28.17,NA,NA,31.29,78.9
CC271,NA,NA,78.94,82.09,NA,NA,4,10.35,NA,NA,7.98,NA,NA,NA,2.42,NA,NA,NA,3.3,NA,NA,NA,69.55,73.44,NA,NA,0.8,2.3,NA,NA,2.25,NA,NA,NA,26.65,27.05,NA,NA,35.84,77.82
CC272,79.8,NA,78.74,79.13,81,NA,6,10,7.32,8.14,NA,8.09,2.49,2.84,1.72,2.26,2.93,2.87,3.44,3.18,71.55,NA,69.37,69.63,37.1,NA,1.8,3.6,2.34,1.95,2.03,2.16,20.55,NA,17.85,20.21,58.12,NA,39.53,32.02
CC273,77.04,80.38,NA,NA,51.5,65,59,NA,8.53,7.71,7.98,8.9,3.09,2.76,2.69,3.02,2.77,2.8,2.96,2.94,67.64,68.97,91.83,NA,28.05,21.05,17.9,NA,1.92,1.94,1.91,1.91,23.84,22.36,29.55,NA,51.75,50.42,47.33,NA
CC274,82.38,NA,73.47,NA,79.5,NA,45,NA,9.08,NA,8.95,9.31,3.36,NA,3.11,3.27,2.71,NA,2.88,2.84,70.88,NA,61.2,NA,40.95,NA,15.1,NA,2.04,NA,2.04,2.03,29.87,NA,29.55,NA,54.56,NA,19.87,NA
CC275,82.55,NA,80.25,79.96,52,NA,51,87.35,9.3,NA,9.55,9.41,3.57,NA,3.47,3.42,2.61,NA,2.75,2.74,71.86,NA,67.29,57.19,24.05,NA,22.3,33,1.99,NA,1.99,1.98,29.59,NA,29.28,29.42,53.99,NA,32.78,7.1
CC276,NA,NA,77.05,77.53,NA,NA,34,10.35,8.48,NA,8.69,8.19,3.68,NA,3.45,3.39,2.32,NA,2.52,2.43,NA,NA,66.46,68.7,NA,NA,10.9,2.5,2.08,NA,1.96,1.91,20.73,NA,20.5,19.32,NA,NA,34.71,74.73
CC277,77.6,NA,79.77,NA,12.5,NA,53,NA,9.64,NA,10.59,9.51,4.02,NA,4.52,3.74,2.41,NA,2.34,2.53,68.45,NA,67.73,NA,3.65,NA,16.3,NA,2.02,NA,2.02,2.01,28.77,NA,28.25,NA,65.78,NA,31.99,NA
CC278,NA,NA,NA,80.23,NA,NA,NA,18.5,8.43,NA,NA,8.99,2.54,NA,NA,3.3,3.32,NA,NA,2.86,NA,NA,NA,69.37,NA,NA,NA,3.45,2.05,NA,NA,1.98,26.71,NA,NA,26.38,NA,NA,NA,21.65
CC279,NA,NA,82.81,81.24,NA,NA,100,64.65,8.21,NA,8.38,8.29,2.6,NA,2.29,2.58,3.17,NA,NA,3.22,NA,NA,67.53,67.15,NA,NA,NA,42.2,2.42,NA,2.41,2.25,27.76,NA,33.25,27.51,NA,NA,33.58,29.41
CC280,82.04,NA,78.68,77.97,65,NA,44,44.65,8.89,NA,8.77,8.92,3.39,NA,2.85,3.12,2.62,NA,3.07,2.89,74.1,NA,64.91,66.13,21.8,NA,19,16.1,2.28,NA,2.14,2.1,24.57,NA,27.8,24.28,68.02,NA,27.85,22.53
CC281,NA,NA,80.36,NA,NA,NA,29,NA,NA,NA,9.14,NA,NA,NA,3.48,NA,NA,NA,2.62,NA,NA,NA,67.18,NA,NA,NA,7.7,NA,NA,NA,2.14,NA,NA,NA,24.73,NA,NA,NA,11.33,NA
CC282,NA,NA,80.17,80.09,NA,NA,38,7.35,NA,NA,9.79,NA,NA,NA,3.72,NA,NA,NA,2.63,NA,NA,NA,69.23,72.37,NA,NA,25.6,1.8,NA,NA,2.07,NA,NA,NA,27.03,27.05,NA,NA,52.95,7.1
CC284,NA,NA,82.75,NA,NA,NA,10,NA,NA,NA,9.63,NA,NA,NA,3.51,NA,NA,NA,2.74,NA,NA,NA,71.71,NA,NA,NA,3.1,NA,NA,NA,2.05,NA,NA,NA,26.55,NA,NA,NA,50.15,NA
CC285,80.5,NA,80.6,NA,75.5,NA,34,NA,9.12,NA,8.51,9.51,3.26,NA,2.62,3.34,2.8,NA,3.25,2.84,69.91,NA,67.22,NA,39.3,NA,13.5,NA,2.2,NA,2.2,2.19,26.76,NA,26.45,NA,61.21,NA,23.13,NA
CC286,81.36,NA,81.76,NA,73,NA,37,NA,9.46,NA,9.56,9.62,3.57,NA,3.26,3.5,2.65,NA,2.93,2.74,71.76,NA,67.37,NA,30.2,NA,11.8,NA,2.06,NA,2.06,2.05,25.8,NA,25.5,NA,29.51,NA,30.21,NA
CC287,80.44,NA,79.9,79.33,54.5,NA,13,5,8.71,NA,9.46,8.95,3.14,NA,3.47,3.16,2.8,NA,2.73,2.86,68.6,NA,67.64,69.26,25.8,NA,1.9,0.95,2.06,NA,1.95,1.93,27.21,NA,26.2,26.93,54.18,NA,42.23,32.89
CC288,80.46,NA,77,NA,58,NA,27,NA,8.28,NA,8.49,8.39,2.92,NA,2.7,2.84,2.84,NA,3.15,2.94,70.36,NA,63.56,NA,22.45,NA,11.2,NA,2.16,NA,2.16,2.15,25.75,NA,25.48,NA,67.26,NA,37.19,NA
CC289,NA,NA,NA,79.67,NA,NA,NA,27.65,9.65,NA,NA,9.62,3.42,NA,NA,3.37,2.82,NA,NA,2.84,NA,NA,NA,68.94,NA,NA,NA,6.1,2.15,NA,NA,2.06,NA,NA,NA,29.88,NA,NA,NA,49.87
CC290,NA,79.32,80.93,77.77,NA,61,23,50.65,9.24,9.59,9.68,9.21,3.46,3.65,3.24,3.35,2.67,2.63,2.98,2.74,NA,68.31,67.49,66.7,NA,26.25,10.3,29.2,2.2,1.96,2.13,2.04,29.07,27.09,29.55,29.01,NA,52.03,23.59,15.13
