Geno,T264,T264d,T264sd,T264b,T264b2,T264b3,T264o,T264o2,T264o3,D10M44,D1M3,D1M75,D1M215,D1M309,D1M218,D1M451,D1M504,D1M113,D1M355,D1M291,D1M209,D1M155,D2M365,D2M37,D2M396,D2M493,D2M226,D2M148,D3M265,D3M51,D3M106,D3M257,D3M147,D3M19,D4M2,D4M178,D4M187,D4M251,D5M148,D5M232,D5M257,D5M83,D5M307,D5M357,D5M205,D5M398,D5M91,D5M338,D5M188,D5M29,D5M168,D6M223,D6M188,D6M284,D6M39,D6M254,D6M194,D6M290,D6M25,D6M339,D6M59_,D6M201,D6M15,D6M294,D7M246,D7M145,D7M62,D7M126,D7M105,D7M259,D8M94,D8M339,D8M178,D8M242,D8M213,D8M156,D9M247,D9M328,D9M106,D9M269,D9M346,D9M55,D9M18,D10M298,D10M294,D10M42_,D10M10,D10M233,D11M78,D11M20,D11M242,D11M356,D11M327,D11M333,D12M105,D12M46,D12M34,D12M5,D12M99,D12M150,D13M59,D13M88,D13M21,D13M39,D13M167,D13M99,D13M233,D13M106,D13M147,D13M226,D13M290,D13M151,D14M14,D14M115,D14M265,D14M266,D15M226,D15M100,D15M209,D15M144,D15M68,D15M239,D15M241,D15M34,D16M154,D16M4,D16M139,D16M86,D17M260,D17M66,D17M88,D17M129,D18M94,D18M58,D18M106,D18M186,D19M68,D19M117,D19M65,D19M10
G086,168.25,1.6825,0.185125526,2,1,B,2,2,B,H,H,B,B,B,B,B,B,B,B,B,H,H,B,A,A,A,A,A,H,A,H,H,H,H,H,H,H,H,B,H,A,A,A,A,A,A,A,A,A,-,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,-,H,H,H,H,A,A,A,A,H,H,H,B,B,B,B,H,H,H,H,H,B,A,A,A,A,A,B,B,H,H,H,B,C,B,-,A,B,A,-,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,B,B,B,B,H,H,H,H,A,B,B,C
G087,120.7,1.207,-0.425371796,1,2,A,2,2,B,A,A,A,H,A,H,B,B,B,B,B,B,B,H,B,H,H,A,A,H,H,H,B,H,H,A,A,A,B,H,H,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,H,-,H,B,A,A,A,A,A,H,H,H,H,H,H,H,B,H,A,A,A,A,H,H,H,A,A,H,B,B,B,B,B,B,C,-,H,H,H,H,H,H,H,-,H,H,H,H,H,H,-,-,H,H,H,H,H,H,B,B,A,A,A,A,A,A,A,A,A,A,H,H,B,C
G088,114.55,1.1455,-0.504332017,1,2,A,2,2,B,B,B,B,B,B,B,H,H,H,H,H,H,B,H,H,H,H,A,A,H,A,A,A,A,H,B,-,B,H,H,H,H,H,H,H,H,H,H,H,H,-,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,-,H,H,A,A,A,A,A,H,B,B,B,H,H,H,H,A,A,H,B,B,A,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,-,-,B,B,B,B,-,B,B,B,B,H,A,B,B,B,H,B,B,B,H,H,H,C
G089,94.033,0.94033,-0.767751019,1,2,A,2,2,B,A,A,H,A,H,H,B,B,B,B,B,B,B,H,H,H,A,A,A,H,H,A,A,A,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,-,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,H,B,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,-,H,H,H,H,H,A,A,A,A,A,B,H,H,H,A,A,H,H,A,A,A,C
G090,67.683,0.67683,-1.106060261,1,2,A,1,3,A,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,H,A,H,H,H,H,H,B,B,B,B,B,-,B,B,H,H,H,A,A,A,A,A,A,A,A,H,B,-,H,-,H,H,H,H,H,B,B,-,B,B,H,H,H,A,A,A,A,A,A,A,H,H,A,A,A,H,H,H,B,B,H,H,C,H,H,H,-,H,H,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A,A,B,B,B,H,H,H,H,B,H,A,H,C
G091,93.833,0.93833,-0.770318831,1,2,A,2,2,B,A,A,-,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,A,-,-,A,A,-,-,-,-,B,H,H,H,H,H,H,H,-,H,H,H,-,H,H,-,H,H,H,-,-,H,H,-,H,H,H,-,B,B,B,B,-,H,H,H,-,H,H,A,A,H,-,H,-,-,H,-,A,A,A,-,H,-,-,A,H,-,-,A,A,-,A,C,H,H,-,-,H,H,A,A,-,A,-,-,A,A,-,A,A,H,-,H,H,H,-,-,A,-,-,-,-,-,B,-,H,A,A,-,-,-,-
G092,93.867,0.93867,-0.769882303,1,2,A,2,2,B,H,H,-,H,H,H,H,H,H,H,H,A,A,H,H,B,B,H,H,B,-,-,A,A,-,-,-,-,A,H,H,H,H,H,H,H,-,H,H,H,-,H,H,-,H,H,H,-,-,H,H,-,H,H,H,-,A,A,A,A,-,A,A,A,-,H,B,A,A,A,-,A,-,-,H,-,B,B,B,-,B,-,-,H,H,-,-,H,H,-,H,C,H,H,-,-,H,H,H,H,H,H,A,-,H,H,-,B,B,B,-,B,B,B,-,-,H,-,-,-,-,-,B,-,B,H,H,-,-,-,-
G093,139.867,1.39867,-0.179285525,1,2,A,2,2,B,-,H,-,H,H,H,H,H,H,H,H,B,B,H,A,A,A,A,H,H,-,-,H,H,-,-,-,-,H,H,H,H,H,H,H,H,-,H,H,H,-,B,H,-,H,H,H,-,-,H,H,-,A,A,A,-,B,H,-,H,-,B,B,H,-,H,H,H,-,H,-,H,-,-,H,-,H,H,H,-,H,H,-,H,A,-,-,B,B,-,H,A,A,A,-,-,A,A,A,A,A,A,A,-,B,B,-,A,A,A,-,A,A,H,-,-,B,-,-,-,-,-,H,-,A,A,A,-,-,-,-
G094,117.933,1.17933,-0.460897476,1,2,A,2,2,B,-,H,-,H,A,A,A,A,A,A,A,-,A,H,A,H,H,H,H,H,-,-,H,H,-,-,-,-,H,A,A,A,A,A,A,B,-,B,B,B,-,B,A,-,A,A,H,-,-,H,H,-,H,H,H,-,H,H,H,H,-,H,H,H,-,-,H,H,H,H,-,A,-,-,H,-,H,H,H,-,B,B,-,B,B,-,-,H,H,-,H,C,H,H,-,-,H,H,H,H,H,H,B,-,H,H,-,A,A,A,-,A,A,A,-,-,A,-,-,-,-,B,B,-,H,B,B,-,-,-,-
G095,77.8,0.778,-0.976167487,1,2,A,1,3,A,-,H,-,B,B,B,B,B,B,H,H,H,H,H,H,A,H,H,B,H,-,-,H,H,-,-,-,-,A,B,B,B,B,B,B,B,-,H,H,H,-,A,A,-,H,H,A,-,-,A,A,-,A,A,A,-,B,H,H,H,-,A,A,H,-,H,A,B,-,B,-,B,-,-,A,-,H,H,H,-,B,B,-,B,B,-,-,H,H,-,H,A,A,A,-,-,A,A,A,A,A,A,A,-,B,B,-,H,H,H,-,A,A,A,-,-,A,-,-,-,-,-,A,-,H,H,H,-,-,-,-
G096,117.833,1.17833,-0.462181382,1,2,A,2,2,B,H,H,-,H,H,-,H,H,H,H,-,H,H,B,B,H,B,B,H,H,-,-,A,A,-,-,-,-,H,A,H,H,H,H,H,H,-,H,H,H,-,H,H,-,B,B,B,-,-,H,H,-,H,H,H,-,A,-,A,A,-,B,B,B,-,B,B,H,-,A,-,H,-,-,B,-,H,H,H,-,H,H,-,A,A,-,-,H,-,-,H,A,A,A,-,-,A,A,A,A,A,A,H,-,H,H,-,H,H,H,-,H,H,H,-,-,H,-,-,-,-,-,A,-,-,B,B,-,-,-,-
G097,264,2.64,1.41446556,2,1,B,3,1,C,-,A,-,H,H,-,H,H,H,H,H,B,B,H,B,B,B,B,B,H,-,-,H,H,-,-,-,-,B,H,H,H,H,H,H,H,-,H,A,A,-,A,H,-,H,H,H,-,-,H,H,-,H,H,H,-,H,H,H,A,-,B,B,B,-,B,B,A,H,H,-,B,-,-,B,-,A,H,H,-,H,-,-,H,H,-,-,B,B,-,B,A,A,H,-,-,H,H,H,H,H,-,H,-,A,A,-,H,H,H,-,H,H,H,-,-,H,-,-,-,-,-,B,-,A,H,H,-,-,-,-
G098,77.733,0.77733,-0.977027704,1,2,A,1,3,A,-,H,-,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,-,-,H,H,-,-,-,-,H,B,B,B,B,B,B,B,-,B,B,B,-,A,H,-,H,H,H,-,-,H,H,-,H,H,H,-,H,H,-,H,-,B,B,B,-,H,H,H,H,H,-,B,-,-,H,-,H,B,H,-,A,A,-,A,-,-,-,H,H,-,A,C,H,H,-,-,A,A,A,A,-,A,H,-,H,H,-,H,H,H,-,H,H,H,-,-,B,-,-,-,-,A,H,-,A,A,A,-,-,-,-
G099,93.183,0.93183,-0.778664221,1,2,A,1,3,A,-,B,-,H,A,A,H,H,H,H,H,H,H,H,A,A,H,H,H,A,-,-,H,H,-,-,-,-,B,B,-,B,B,B,B,H,-,H,H,H,-,B,B,-,B,B,B,-,-,B,B,-,H,H,H,-,H,B,B,H,-,H,H,B,-,-,B,A,-,H,-,H,-,-,H,-,B,A,A,-,A,A,-,A,H,-,-,H,B,-,H,A,A,A,-,-,A,A,A,A,-,A,A,-,B,-,-,H,H,H,-,H,H,H,-,-,A,-,-,-,-,-,B,-,A,A,A,-,-,-,-
G100,77.633,0.77633,-0.97831161,1,2,A,1,3,A,B,B,-,A,A,A,A,A,A,A,-,A,A,H,H,H,H,H,H,A,-,-,A,A,-,-,-,-,H,H,-,H,H,H,H,H,-,H,H,H,-,H,A,-,A,A,A,-,-,A,A,-,H,H,H,-,A,A,A,H,-,A,-,A,-,A,A,B,B,B,-,B,-,-,B,-,H,H,B,-,H,H,-,H,H,-,-,H,H,-,A,C,H,H,-,-,H,H,H,H,H,H,A,-,A,-,-,B,B,B,-,B,B,B,-,-,A,-,-,-,-,A,A,-,H,H,H,-,-,-,-
G101,77.55,0.7755,-0.979377252,1,2,A,1,3,A,A,A,-,H,H,H,A,A,A,A,A,A,A,H,B,B,H,H,H,H,-,-,H,H,-,-,-,-,H,H,H,H,H,H,H,H,-,H,H,H,-,A,B,-,B,H,H,-,-,H,H,-,H,H,H,-,H,H,B,B,-,B,B,B,-,B,B,H,-,H,-,H,-,-,H,-,H,H,H,-,B,-,-,H,A,-,-,H,H,-,H,C,H,H,-,-,A,A,A,A,A,A,A,-,H,H,-,H,H,A,-,A,A,A,-,-,A,-,-,-,-,H,H,-,H,H,B,-,-,-,-
G102,264,2.64,1.41446556,2,1,B,3,1,C,A,A,-,H,H,H,H,H,B,B,B,-,H,H,H,A,A,A,A,A,-,-,H,H,-,-,-,-,H,H,-,A,A,A,A,A,-,A,H,H,-,H,B,-,H,A,A,-,-,-,A,-,A,A,A,-,B,A,-,A,-,B,B,B,-,B,A,A,-,A,-,H,-,-,H,-,A,-,A,-,H,B,-,B,-,-,-,B,-,-,A,C,H,H,-,-,B,B,B,B,B,B,B,-,H,H,-,H,A,A,-,A,A,A,-,-,H,-,-,-,-,-,H,-,H,-,H,-,-,-,-
G103,117.433,1.17433,-0.467317006,1,2,A,2,2,B,-,B,B,B,B,H,H,H,H,H,A,A,A,A,H,H,B,B,B,H,-,-,B,B,-,-,-,-,A,H,H,H,H,A,A,A,-,A,A,A,-,H,A,-,A,A,A,-,-,H,H,-,H,H,H,-,H,A,A,A,-,H,H,H,-,H,H,A,A,A,-,A,-,-,B,-,B,B,B,-,H,H,-,A,H,-,-,A,A,-,A,C,H,H,-,-,H,H,H,H,H,H,H,-,H,-,-,H,H,H,-,H,H,A,-,-,A,-,-,-,-,H,A,-,B,H,H,-,-,-,-
G104,93.067,0.93067,-0.780153552,1,2,A,1,3,A,B,B,B,H,H,H,B,B,H,H,H,H,H,H,H,H,A,A,A,H,-,-,A,H,-,-,-,-,A,B,B,B,B,H,H,H,-,H,H,H,-,H,A,-,H,H,H,-,-,H,H,-,H,H,H,-,B,H,H,H,-,H,H,B,-,B,B,B,A,H,-,H,-,-,H,-,A,-,A,-,H,H,-,H,B,-,-,A,A,-,H,C,H,H,-,-,H,B,B,B,-,B,B,-,H,H,-,H,B,B,-,B,B,B,-,-,H,-,-,-,-,-,B,-,B,B,B,-,-,-,-
G105,99.867,0.99867,-0.692847941,1,2,A,2,2,B,-,H,-,H,H,H,A,A,A,A,A,A,A,B,B,B,B,B,A,A,-,-,B,B,-,-,-,-,A,A,A,A,H,H,H,H,-,H,H,H,-,H,A,-,H,H,H,-,-,H,H,-,H,H,H,-,A,A,A,A,-,A,A,H,-,B,B,B,B,B,-,B,-,-,H,-,A,A,A,-,H,H,-,H,A,-,-,A,A,-,H,C,H,A,-,-,A,A,A,A,-,A,A,-,B,B,-,A,A,A,-,H,H,H,-,-,B,-,-,-,-,H,H,-,H,H,H,-,-,-,-
G106,82.333,0.82333,-0.917968026,1,2,A,1,3,A,A,H,-,B,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,-,-,A,A,-,-,-,-,B,B,B,B,B,B,B,B,-,B,B,B,-,B,H,-,H,H,H,-,-,A,A,-,A,A,A,-,B,H,A,A,-,H,-,H,-,A,A,H,H,H,-,H,-,-,A,-,H,B,H,-,H,-,-,H,A,-,-,H,H,-,H,C,H,A,-,-,A,A,A,A,-,A,A,-,H,H,-,B,B,B,-,B,B,B,-,-,H,-,-,-,-,H,H,-,H,B,B,-,-,-,-
G107,163.75,1.6375,0.127349755,2,1,B,2,2,B,B,B,B,B,H,H,A,A,H,H,H,H,H,B,H,H,H,H,H,H,-,-,H,H,-,-,-,-,H,A,A,A,A,A,A,A,-,A,A,A,-,A,A,-,A,A,A,-,-,A,A,-,A,A,A,-,H,H,-,H,-,B,B,B,-,B,H,H,B,B,-,B,-,-,B,-,H,H,H,-,H,H,-,H,H,-,-,H,H,-,B,C,H,H,-,-,A,A,A,A,A,A,A,-,B,H,-,H,H,H,-,-,H,H,-,-,B,-,-,-,-,A,A,-,B,B,B,-,-,-,-
G108,82.017,0.82017,-0.922025169,1,2,A,1,3,A,B,B,B,H,H,B,B,B,B,B,B,B,B,H,H,H,A,A,A,A,-,-,-,H,-,-,-,-,H,H,-,B,B,B,B,B,-,B,B,B,-,B,H,-,H,H,H,-,-,B,B,-,B,B,B,-,H,A,A,A,-,A,A,A,-,H,H,H,H,B,-,B,-,-,B,-,A,A,H,-,H,H,-,A,A,-,-,A,A,-,H,A,A,A,-,-,A,H,H,H,H,H,H,-,A,A,-,A,H,H,-,H,H,H,-,-,H,-,-,-,-,B,A,-,H,H,H,-,-,-,-
G109,264,2.64,1.41446556,2,1,B,3,1,C,H,H,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H,H,B,-,-,H,H,-,-,-,-,A,B,B,A,A,A,A,A,-,A,A,A,-,H,B,-,B,B,H,-,-,H,H,-,A,A,A,-,H,H,B,B,-,A,A,A,-,A,H,H,H,B,-,B,-,-,A,-,B,B,B,-,B,B,-,B,B,-,-,B,B,-,B,C,H,H,-,-,H,H,H,H,H,H,H,-,A,A,-,B,B,B,-,B,B,B,-,-,H,-,-,-,-,H,-,-,B,H,H,-,-,-,-
G110,264,2.64,1.41446556,2,1,B,3,1,C,A,A,-,H,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,A,-,-,H,H,-,-,-,-,H,A,A,A,A,A,A,A,-,A,H,H,-,H,B,-,H,H,H,-,-,H,H,-,H,H,H,-,H,H,H,H,-,B,B,H,-,H,H,H,-,H,-,A,-,-,H,-,H,-,H,-,H,H,-,H,H,-,-,H,-,-,B,C,H,H,-,-,B,B,B,B,B,B,B,-,H,-,-,H,H,H,-,H,H,H,-,-,H,-,-,-,-,-,H,-,H,H,H,-,-,-,-
G111,91.283,0.91283,-0.803058435,1,2,A,1,3,A,B,B,-,-,A,A,A,A,A,A,H,H,H,H,A,A,H,H,H,H,-,-,H,H,-,-,-,-,B,H,H,H,H,H,H,H,-,H,H,H,-,H,B,-,B,B,B,-,-,B,B,-,B,B,B,-,H,-,A,H,-,H,H,H,-,A,H,H,H,H,-,A,-,-,H,-,H,H,H,-,H,H,-,H,H,-,-,B,-,-,B,C,H,H,-,-,A,A,A,A,A,A,A,-,A,A,-,A,A,H,-,H,H,H,-,-,B,-,-,-,-,H,A,-,B,B,B,-,-,-,-
G112,140.767,1.40767,-0.167730371,1,2,A,2,2,B,H,H,-,H,H,H,H,H,H,H,H,B,B,B,B,H,A,A,A,H,-,-,H,H,-,-,-,-,A,H,H,H,H,H,H,H,-,H,H,H,-,B,A,-,A,A,H,-,-,H,H,-,H,H,H,-,A,A,A,A,-,B,B,B,-,B,B,-,B,B,-,B,-,-,H,-,H,H,H,-,B,B,-,B,-,-,-,H,H,-,H,C,H,H,-,-,H,H,H,H,H,H,H,-,H,H,-,B,B,B,-,B,H,H,-,-,B,-,-,-,-,A,H,-,-,H,H,-,-,-,-
G113,81.733,0.81733,-0.925671462,1,2,A,1,3,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,B,H,-,-,H,H,-,-,-,-,H,B,B,B,B,B,B,-,-,H,H,A,-,A,B,-,H,H,H,-,-,H,H,-,H,H,B,-,H,H,H,H,-,H,H,H,-,H,H,A,A,H,-,H,-,-,A,-,B,-,B,-,H,-,-,H,A,-,-,B,B,-,H,C,H,H,-,-,H,H,H,H,H,H,H,-,H,H,-,B,B,B,-,H,H,H,-,-,H,-,-,-,-,H,H,-,A,H,A,-,-,-,-
G114,75.667,0.75667,-1.003553203,1,2,A,1,3,A,H,H,-,A,A,A,A,A,A,A,A,-,A,A,H,H,B,B,H,H,-,-,-,A,-,-,-,-,A,H,-,H,H,-,B,B,-,B,B,B,-,B,A,-,A,A,H,-,-,-,H,-,H,H,H,-,H,-,B,B,-,A,A,-,-,B,B,H,H,H,-,H,-,-,H,-,H,-,H,-,H,H,-,H,H,-,-,A,A,-,H,C,H,H,-,-,H,H,H,A,-,A,H,-,H,H,-,B,H,H,-,H,H,H,-,-,A,-,-,-,-,A,H,-,H,A,A,-,-,-,-
G115,76.483,0.76483,-0.993076529,1,2,A,1,3,A,B,B,B,B,B,H,H,H,H,H,H,H,H,B,B,H,H,H,A,H,-,-,A,A,-,-,-,-,A,B,-,H,H,H,H,H,-,H,H,H,-,H,A,-,H,H,H,-,-,-,B,-,B,B,B,-,B,B,-,H,-,A,A,A,-,A,A,B,-,B,-,B,-,-,B,-,A,-,H,-,A,H,-,B,B,-,-,H,H,-,B,A,A,A,-,-,A,A,A,A,H,H,B,-,H,H,-,B,B,B,-,B,B,B,-,-,A,-,-,-,-,A,A,-,H,H,H,-,-,-,-
G116,116.467,1.16467,-0.479719538,1,2,A,2,2,B,H,H,-,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,H,H,-,-,H,-,-,-,-,-,B,H,H,A,A,A,A,A,-,A,A,A,-,H,A,-,A,A,A,-,-,H,H,-,H,H,H,-,H,H,H,B,-,A,A,A,-,A,H,B,-,B,-,B,-,-,B,-,H,H,H,-,H,H,-,B,B,-,-,H,H,-,A,A,A,A,-,-,A,A,H,H,H,H,H,-,A,H,-,A,A,A,-,A,A,A,-,-,H,-,-,-,-,-,H,-,B,B,B,-,-,-,-
G117,116.517,1.16517,-0.479077585,1,2,A,2,2,B,A,A,-,B,B,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,-,-,H,H,-,-,-,-,A,B,B,B,B,B,B,B,-,B,H,H,-,H,B,-,B,H,H,-,-,H,H,-,H,H,H,-,A,A,-,H,-,B,B,H,-,H,H,A,-,A,-,A,-,-,A,-,H,-,H,-,H,H,-,B,B,-,-,H,H,-,H,C,H,H,-,-,H,-,H,H,-,H,H,-,A,A,-,H,A,A,-,A,A,A,-,-,H,-,-,-,-,-,H,-,H,A,A,-,-,-,-
G118,139.55,1.3955,-0.183355507,1,2,A,2,2,B,H,H,B,B,B,B,B,B,H,H,H,H,H,A,A,A,H,H,H,H,-,-,H,H,-,-,-,-,H,H,H,H,H,-,H,H,-,H,H,B,-,B,H,-,H,A,H,-,-,H,H,-,H,H,H,-,H,H,H,H,-,H,H,H,-,H,H,H,H,H,-,A,-,-,H,-,H,H,H,-,H,H,-,B,H,-,-,H,-,-,A,C,H,A,-,-,A,A,H,H,H,H,H,-,H,H,-,A,A,A,-,A,A,A,-,-,H,-,-,-,-,B,H,-,H,H,B,-,-,-,-
G119,264,2.64,1.41446556,2,1,B,3,1,C,A,A,-,A,A,A,A,A,A,A,A,A,A,B,B,H,H,H,H,B,-,-,H,H,-,-,-,-,H,B,B,H,H,H,H,H,-,H,H,H,-,H,B,-,B,B,B,-,-,B,B,-,H,H,H,-,A,B,B,B,-,H,H,A,-,H,H,B,B,B,-,B,-,-,H,-,B,-,B,-,H,H,-,H,H,-,-,B,B,-,H,C,H,H,-,-,H,H,H,H,H,H,H,-,H,H,-,H,H,H,-,H,H,H,-,-,H,-,-,-,-,B,B,-,H,H,H,-,-,-,-
G120,116.2,1.162,-0.483147567,1,2,A,2,2,B,A,A,-,H,H,H,H,H,H,H,H,A,A,A,H,H,H,A,A,H,-,-,H,B,-,-,-,-,H,H,H,H,H,H,H,H,-,B,B,-,-,B,H,-,H,H,A,-,-,A,A,-,A,A,A,-,A,H,H,H,-,H,H,A,-,H,H,A,A,A,-,A,-,-,H,-,H,-,H,-,H,B,-,B,B,-,-,H,H,-,B,C,H,H,-,-,H,H,H,H,H,H,H,-,B,B,-,H,H,H,-,B,B,B,-,-,H,-,-,-,-,H,B,-,H,H,H,-,-,-,-
